Mã,Tên,Cấp,Nghị quyết,Mã TP,Tỉnh / Thành Phố
00004,Phường Ba Đình,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00008,Phường Ngọc Hà,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00025,Phường Giảng Võ,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00070,"Phường 
Hoàn Kiếm",Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00082,Phường Cửa Nam,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00091,Phường Phú Thượng,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00097,Phường Hồng Hà,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00103,Phường Tây Hồ,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00118,Phường Bồ Đề,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00127,Phường Việt Hưng,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00136,Phường Phúc Lợi,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00145,Phường Long Biên,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00160,Phường Nghĩa Đô,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00166,Phường Cầu Giấy,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00175,Phường Yên Hòa,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00190,Phường Ô Chợ Dừa,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00199,Phường Láng,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00226,Phường Văn Miếu - Quốc Tử Giám,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00229,Phường Kim Liên,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00235,Phường Đống Đa,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00256,Phường Hai Bà Trưng,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00283,Phường Vĩnh Tuy,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00292,Phường Bạch Mai,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00301,Phường Vĩnh Hưng,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00316,Phường Định Công,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00322,Phường Tương Mai,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00328,Phường Lĩnh Nam,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00331,Phường Hoàng Mai,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00337,Phường Hoàng Liệt,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00340,Phường Yên Sở,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00352,Phường Phương Liệt,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00364,Phường Khương Đình,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00367,Phường Thanh Xuân,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00376,Xã Sóc Sơn,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00382,Xã Kim Anh,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00385,Xã Trung Giã ,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00430,Xã Đa Phúc,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00433,Xã Nội Bài,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00454,Xã Đông Anh,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00466,Xã Phúc Thịnh,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00475,Xã Thư Lâm,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00493,Xã Thiên Lộc,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00508,Xã Vĩnh Thanh,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00541,Xã Phù Đổng,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00562,Xã Thuận An,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00565,Xã Gia Lâm,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00577,Xã Bát Tràng,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00592,Phường Từ Liêm,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00598,Phường Thượng Cát,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00602,Phường Đông Ngạc,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00611,Phường Xuân Đỉnh,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00613,Phường Tây Tựu,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00619,Phường Phú Diễn,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00622,Phường Xuân Phương ,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00634,Phường Tây Mỗ,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00637,Phường Đại Mỗ,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00640,Xã Thanh Trì,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00643,Phường Thanh Liệt,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00664,Xã Đại Thanh,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00679,Xã Ngọc Hồi,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
00685,Xã Nam Phù,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
04930,Xã Yên Xuân,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
08974,Xã Quang Minh,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
08980,Xã Yên Lãng,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
08995,Xã Tiến Thắng,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09022,Xã Mê Linh,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09552,Phường Kiến Hưng ,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09556,Phường Hà Đông,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09562,Phường Yên Nghĩa,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09568,Phường Phú Lương,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09574,Phường Sơn Tây,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09604,Phường Tùng Thiện,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09616,Xã Đoài Phương,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09619,Xã Quảng Oai,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09634,Xã Cổ Đô,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09661,Xã Minh Châu,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09664,Xã Vật Lại,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09676,Xã Bất Bạt,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09694,Xã Suối Hai,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09700,Xã Ba Vì,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09706,Xã Yên Bài ,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09715,Xã Phúc Thọ,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
